,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Correct,Actual Value
0,K.Granson o4.5 receiving yards,Rotowire Prizepicks,Indianapolis Colts,k.granson,Detroit Lions,1.0,0.4285714285714285,0,0.3333333333333333,0,0.2,0,51,9,68,4,Rain,Lucas Oil,indoors,turf,100.0,1.5,3.0,1.5,N,0.0
1,S.Barkley o12.5 receiving yards,Rotowire Sleeper,Philadelphia Eagles,s.barkley,Los Angeles Rams,0.0,0.4444444444444444,0,0.3333333333333333,0,0.2,0,58,9,90,10,Rain,SoFi,indoors,turf,100.0,1.5,3.0,1.5,Y,47.0
2,J.Conner o13.5 Rec Yds,MJCLocks,Arizona Cardinals,j.conner,Seattle Seahawks,0.0,0.6666666666666666,1,1.0,1,1.0,1,46,9,88,72,Rain,Lumen Field,outdoors,turf,-113.0,1.13,2.13,1.0,Y,41.0
3,J.Conner o13.5 Rec Yds,charliedisturco,Arizona Cardinals,j.conner,Seattle Seahawks,0.0,0.6666666666666666,1,1.0,1,1.0,1,46,9,88,72,Rain,Lumen Field,outdoors,turf,-113.0,1.13,2.13,1.0,Y,41.0
4,D.Singletary o0.5 Rec Yds,nick_giffen,New York Giants,d.singletary,Tampa Bay Buccaneers,1.0,0.8571428571428571,1,1.0,1,1.0,1,52,15,48,0,Partly Cloudy,MetLife,outdoors,turf,-110.0,1.1,2.1,1.0,Y,7.0
5,T.Tracy o11.5 Rec Yds,Markus_Markets,New York Giants,t.tracy,Tampa Bay Buccaneers,1.0,0.3333333333333333,0,0.0,0,0.2,0,52,15,48,0,Partly Cloudy,MetLife,outdoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,Y,28.0
6,G.Dortch o8.5 receiving yards,Rotowire Prizepicks,Arizona Cardinals,g.dortch,Seattle Seahawks,0.0,0.6666666666666666,1,0.3333333333333333,0,0.4,0,47,1,83,63,Rain,Lumen Field,outdoors,turf,100.0,1.5,3.0,1.5,N,5.0
7,K.Allen u40.5 Rec Yds,Theotherbabs,Chicago Bears,k.allen,Minnesota Vikings,1.0,0.5714285714285714,1,0.3333333333333333,0,0.4,0,46,9,73,0,Mostly Cloudy,Soldier Field,outdoors,grass,-110.0,1.0,1.9090909090909087,0.9090909090909092,N,86.0
8,J.Smith u39.5 Rec Yds,Theotherbabs,Miami Dolphins,j.smith,New England Patriots,1.0,0.4444444444444444,0,0.3333333333333333,0,0.2,0,75,6,52,0,Clear,Hard Rock,outdoors,grass,-125.0,1.0,1.8,0.8,N,87.0
9,D.Allen o13.5 receiving yards,Rotowire Sleeper,Los Angeles Rams,d.allen,Philadelphia Eagles,1.0,1.0,1,1.0,1,1.0,1,57,7,91,3,Mostly Cloudy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,N,0.0
10,N.Westbrook-Ikhine u29.5 Rec Yds,Theotherbabs,Tennessee Titans,n.westbrook-ikhine,Houston Texans,0.0,0.4,0,0.0,0,0.4,0,76,10,53,0,Partly Cloudy,NRG,indoors,turf,-115.0,1.0,1.869565217391304,0.8695652173913042,N,48.0
11,T.Tracy o11.5 Rec Yds,theprophunter0_,New York Giants,t.tracy,Tampa Bay Buccaneers,1.0,0.3333333333333333,0,0.0,0,0.2,0,50,13,48,1,Mostly Cloudy,MetLife,outdoors,turf,-125.0,1.25,2.25,1.0,Y,28.0
12,K.Williams o14.5 receiving yards,Rotowire Sleeper,Los Angeles Rams,k.williams,Philadelphia Eagles,1.0,0.4444444444444444,0,0.6666666666666666,1,0.4,0,58,6,92,4,Mostly Cloudy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,N,0.0
13,K.Williams o12.5 Rec Yds,RoyalsProps,Los Angeles Rams,k.williams,Philadelphia Eagles,1.0,0.4444444444444444,0,0.6666666666666666,1,0.4,0,61,8,92,4,Clear,SoFi,indoors,turf,-110.0,0.55,1.05,0.5,N,0.0
