Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
K.Hunt o35.5 Rush Yds,kylemurray03,Kansas City Chiefs,k.hunt,New Orleans Saints,1,1.0,1,1.0,1,1.0,1,65,3,38,2,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.1,2.1,1.0,1,0,Rush_Yds
K.Hunt o35.5 rush yards,Jared Hochman,Kansas City Chiefs,k.hunt,New Orleans Saints,1,1.0,1,1.0,1,1.0,1,65,3,38,2,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,0.75,1.5,0.75,1,0,Rush_Yds
D.Carr o2.5 rushing yards,Rotowire Prizepicks,New Orleans Saints,d.carr,Kansas City Chiefs,0,0.75,1,0.6666666666666666,1,0.75,1,66,2,40,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,Rush_Yds
K.Hunt o56.5 rushing + receiving yards,Rotowire Prizepicks,Kansas City Chiefs,k.hunt,New Orleans Saints,1,1.0,1,1.0,1,1.0,1,66,2,40,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,rushing + receiving yards
N.Gray o16.5 receiving yards,Rotowire Sleeper,Kansas City Chiefs,n.gray,New Orleans Saints,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,66,2,40,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,Rec_Yds
C.Olave o58.5 receiving yards,Rotowire Prizepicks,New Orleans Saints,c.olave,Kansas City Chiefs,0,0.75,1,1.0,1,0.75,1,66,2,40,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,Rec_Yds
P.Mahomes o232.5 passing yards,Rotowire Sleeper,Kansas City Chiefs,p.mahomes,New Orleans Saints,1,0.5,0,0.3333333333333333,0,0.5,0,66,2,40,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,Pass_Yds
J.Smith-schuster o13.5 receiving yards,Rotowire Sleeper,Kansas City Chiefs,j.smith-schuster,New Orleans Saints,1,0.5,0,0.5,0,0.5,0,66,2,40,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,Rec_Yds
J.Johnson o17.5 Rec Yds,Theotherbabs,New Orleans Saints,j.johnson,Kansas City Chiefs,0,0.5,0,0.5,0,0.5,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.5,2.863636363636364,1.3636363636363638,1,0,Rec_Yds
A.Kamara o13.5 Longest Reception,RoyalsProps,New Orleans Saints,a.kamara,Kansas City Chiefs,0,0.75,1,0.6666666666666666,1,0.75,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-113,1.13,2.13,1.0,1,0,Rec_Lng
X.Worthy o2.5 Rush Yds,charliedisturco,Kansas City Chiefs,x.worthy,New Orleans Saints,1,0.75,1,0.6666666666666666,1,0.75,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,0.55,1.05,0.5,1,0,Rush_Yds
A.Kamara o0.5 rush_td+rec_td,LinesAtLunch,New Orleans Saints,a.kamara,Kansas City Chiefs,0,0.75,1,0.6666666666666666,1,0.75,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.1,2.1,1.0,1,0,Rush_TD+Rec_TD
K.Hunt o41.5 Rush Yds,charliedisturco,Kansas City Chiefs,k.hunt,New Orleans Saints,1,1.0,1,1.0,1,1.0,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.1,2.1,1.0,1,0,Rush_Yds
J.Johnson o16.5 receiving yards,Rotowire Sleeper,New Orleans Saints,j.johnson,Kansas City Chiefs,0,0.5,0,0.5,0,0.5,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,Rec_Yds
A.Kamara o0.5 rush_td+rec_td,gneiffer07,New Orleans Saints,a.kamara,Kansas City Chiefs,0,0.75,1,0.6666666666666666,1,0.75,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-105,1.05,2.05,0.9999999999999998,1,0,Rush_TD+Rec_TD
C.Olave o57.5 Rec Yds,FirefighterBets,New Orleans Saints,c.olave,Kansas City Chiefs,0,0.75,1,1.0,1,0.75,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-112,1.0,1.8928571428571428,0.8928571428571428,1,0,Rec_Yds
K.Hunt o11.5 Rush Att,PropBetGuy,Kansas City Chiefs,k.hunt,New Orleans Saints,1,1.0,1,1.0,1,1.0,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-115,1.15,2.1499999999999995,0.9999999999999996,1,0,Rush_Att
P.Mahomes o9.5 Longest Rush,MJCLocks,Kansas City Chiefs,p.mahomes,New Orleans Saints,1,0.5,0,0.6666666666666666,1,0.5,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.1,2.1,1.0,1,0,Rush_Lng
K.Hunt o45.5 rushing yards,Rotowire Sleeper,Kansas City Chiefs,k.hunt,New Orleans Saints,1,1.0,1,1.0,1,1.0,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,Rush_Yds
K.Hunt o61.5 rushing + receiving yards,Rotowire Sleeper,Kansas City Chiefs,k.hunt,New Orleans Saints,1,1.0,1,1.0,1,1.0,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5,1,0,rushing + receiving yards
