,Play,Expert,Name,Correct,Actual Value,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
0,M.Nabers o0.5 rush_td+rec_td,GDAWG5000,m.nabers,N,0.0,New York Giants,Dallas Cowboys,0.0,0.25,0,0.0,0,0.0,0,54,10,38,0,Clear,AT&amp;T,indoors,turf,280.0,1.0,3.8,2.8
1,T.Hill o0.5 rush_td+rec_td,GDAWG5000,t.hill,Y,1.0,Miami Dolphins,Green Bay Packers,0.0,0.3,0,0.6666666666666666,1,0.4,0,28,8,66,8,Snow,Lambeau Field,outdoors,grass,150.0,1.0,2.5,1.5
2,M.Nabers o0.5 rush_td+rec_td,TheBMatt,m.nabers,N,0.0,New York Giants,Dallas Cowboys,0.0,0.25,0,0.0,0,0.0,0,54,10,38,0,Partly Cloudy,AT&amp;T,indoors,turf,250.0,1.0,3.5,2.5
3,T.Hill o0.5 rush_td+rec_td,TheBMatt,t.hill,Y,1.0,Miami Dolphins,Green Bay Packers,0.0,0.3,0,0.6666666666666666,1,0.4,0,28,8,66,8,Snow,Lambeau Field,outdoors,grass,150.0,1.0,2.5,1.5
4,T.Hill o0.5 rush_td+rec_td,shadybiev,t.hill,Y,1.0,Miami Dolphins,Green Bay Packers,0.0,0.3,0,0.6666666666666666,1,0.4,0,24,13,77,14,Snow,Lambeau Field,outdoors,grass,147.0,1.5,3.705,2.205
5,C.Lamb o0.5 rush_td+rec_td,nick_giffen,c.lamb,N,0.0,Dallas Cowboys,New York Giants,1.0,0.3,0,0.0,0,0.2,0,54,10,38,0,Clear,AT&amp;T,indoors,turf,180.0,1.0,2.8,1.7999999999999998
6,C.Lamb o0.5 rush_td+rec_td,daletanhardt,c.lamb,N,0.0,Dallas Cowboys,New York Giants,1.0,0.3,0,0.0,0,0.2,0,52,10,37,2,Partly Cloudy,AT&amp;T,indoors,turf,165.0,1.5,3.975,2.475
7,D.Montgomery o0.5 rush_td+rec_td,JBBets1,d.montgomery,N,0.0,Detroit Lions,Chicago Bears,1.0,0.9,1,1.0,1,0.8,1,39,9,61,4,Overcast,Ford Field,indoors,turf,-140.0,1.0,1.7142857142857144,0.7142857142857144
8,C.Lamb o0.5 rush_td+rec_td,theprophunter0_,c.lamb,N,0.0,Dallas Cowboys,New York Giants,1.0,0.3,0,0.0,0,0.2,0,53,10,38,2,Mostly Cloudy,AT&amp;T,indoors,turf,145.0,0.5,1.225,0.7250000000000001
9,T.Hill o0.5 rush_td+rec_td,sirlockselot_,t.hill,Y,1.0,Miami Dolphins,Green Bay Packers,0.0,0.3,0,0.6666666666666666,1,0.4,0,27,12,68,22,Slight Chance Snow Showers,Lambeau Field,outdoors,grass,154.0,1.0,2.54,1.54
