Unnamed: 0,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,T.Hill,New Orleans Saints,4,14,0,1,14,3.5,0,0.0,0,0.0,2,2,36,0,6,34,0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1110,Atlanta Falcons,1,Caesars Superdome,indoors,turf,78,88,13,53,Rain
1.0,A.Kamara,New Orleans Saints,17,55,0,3,55,3.2,0,0.0,0,0.0,6,5,54,0,11,31,0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,1110,Atlanta Falcons,1,Caesars Superdome,indoors,turf,78,88,13,53,Rain
2.0,D.Carr,New Orleans Saints,4,17,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,13,0,0,0.0,17.0,4.3,0.0,0.0,0.0,96.0,1110,Atlanta Falcons,1,Caesars Superdome,indoors,turf,78,88,13,53,Rain
3.0,R.McCloud,Atlanta Falcons,1,6,0,0,6,6.0,0,0.0,0,0.0,4,3,30,0,6,20,0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1110,New Orleans Saints,0,Caesars Superdome,indoors,turf,78,88,13,53,Rain
4.0,T.Allgeier,Atlanta Falcons,11,59,0,3,59,5.4,0,0.0,0,0.0,0,0,0,0,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1110,New Orleans Saints,0,Caesars Superdome,indoors,turf,78,88,13,53,Rain
5.0,B.Robinson,Atlanta Falcons,20,116,2,6,116,5.8,0,0.0,0,0.0,4,3,28,0,37,16,0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1110,New Orleans Saints,0,Caesars Superdome,indoors,turf,78,88,13,53,Rain
6.0,T.Dell,Houston Texans,1,-6,0,0,-6,-6.0,0,0.0,0,0.0,9,5,39,0,-6,13,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1110,Detroit Lions,1,NRG,indoors,turf,75,79,9,0,Clear
7.0,D.Ogunbowale,Houston Texans,1,11,0,0,11,11.0,0,0.0,0,0.0,0,0,0,0,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1110,Detroit Lions,1,NRG,indoors,turf,75,79,9,0,Clear
8.0,J.Mixon,Houston Texans,25,46,1,3,46,1.8,0,0.0,0,0.0,4,2,44,0,8,36,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1110,Detroit Lions,1,NRG,indoors,turf,75,79,9,0,Clear
9.0,C.Stroud,Houston Texans,1,5,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,5,0,0,0.0,5.0,5.0,0.0,0.0,0.0,100.0,1110,Detroit Lions,1,NRG,indoors,turf,75,79,9,0,Clear
10.0,J.Williams,Detroit Lions,0,0,0,0,0,0.0,0,0.0,0,0.0,5,3,53,0,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1110,Houston Texans,0,NRG,indoors,turf,75,79,9,0,Clear
11.0,D.Montgomery,Detroit Lions,12,32,1,3,32,2.7,0,0.0,0,0.0,2,1,24,0,12,24,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1110,Houston Texans,0,NRG,indoors,turf,75,79,9,0,Clear
12.0,J.Gibbs,Detroit Lions,19,71,0,3,71,3.7,0,0.0,0,0.0,3,2,37,0,20,33,0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1110,Houston Texans,0,NRG,indoors,turf,75,79,9,0,Clear
13.0,J.Goff,Detroit Lions,1,2,0,1,2,2.0,0,0.0,0,0.0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1110,Houston Texans,0,NRG,indoors,turf,75,79,9,0,Clear
14.0,G.Dortch,Arizona Cardinals,0,0,0,0,0,0.0,0,0.0,0,0.0,1,1,-1,0,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1110,New York Jets,1,State Farm,indoors,grass,72,15,5,0,Clear
15.0,T.McBride,Arizona Cardinals,0,0,0,0,0,0.0,0,0.0,0,0.0,5,4,71,0,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1110,New York Jets,1,State Farm,indoors,grass,72,15,5,0,Clear
16.0,J.Conner,Arizona Cardinals,12,33,1,3,33,2.8,0,0.0,0,0.0,5,5,80,0,12,44,0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1110,New York Jets,1,State Farm,indoors,grass,72,15,5,0,Clear
17.0,T.Benson,Arizona Cardinals,10,62,0,3,62,6.2,0,0.0,0,0.0,2,2,25,0,14,19,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1110,New York Jets,1,State Farm,indoors,grass,72,15,5,0,Clear
18.0,K.Murray,Arizona Cardinals,3,21,2,0,0,0.0,0,0.0,0,0.0,0,0,0,0,12,0,0,3.0,21.0,7.0,0.0,0.0,0.0,88.0,1110,New York Jets,1,State Farm,indoors,grass,72,15,5,0,Clear
19.0,M.Corley,New York Jets,0,0,0,0,0,0.0,0,0.0,0,0.0,2,1,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1110,Arizona Cardinals,0,State Farm,indoors,grass,72,15,5,0,Clear
