Unnamed: 0,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,C.Tillman,Cleveland Browns,4,2,28,0,0,0,0,0,0,0.0,0,0.0,0,0,0,24,1,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
1.0,J.Ford,Cleveland Browns,1,1,8,0,4,19,0,0,19,4.8,0,0.0,0,0,9,8,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
2.0,N.Chubb,Cleveland Browns,1,1,1,0,20,59,2,5,59,3.0,0,0.0,0,0,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
3.0,J.Winston,Cleveland Browns,0,0,0,0,3,7,1,0,0,0.0,0,0.0,0,0,3,0,1,3.0,7.0,2.3,0.0,0.0,0.0,98.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
4.0,G.Pickens,Pittsburgh Steelers,7,4,48,0,0,0,0,0,0,0.0,0,0.0,0,0,0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
5.0,N.Harris,Pittsburgh Steelers,2,2,13,0,16,41,0,1,41,2.6,0,0.0,0,0,11,10,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
6.0,J.Warren,Pittsburgh Steelers,5,3,19,0,11,45,1,3,45,4.1,0,0.0,0,0,15,11,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
7.0,R.Wilson,Pittsburgh Steelers,0,0,0,0,3,10,0,0,0,0.0,0,0.0,0,0,10,0,1,0.0,10.0,3.3,0.0,0.0,0.0,90.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,C.Patterson,Pittsburgh Steelers,0,0,0,0,1,-2,0,0,-2,-2.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,J.Fields,Pittsburgh Steelers,0,0,0,0,3,26,0,1,26,8.7,0,0.0,0,0,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,E.Moore,Cleveland Browns,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,J.Akins,Cleveland Browns,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,B.Whiteheart,Cleveland Browns,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,P.Freiermuth,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,J.Jeudy,Cleveland Browns,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,D.Njoku,Cleveland Browns,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Pittsburgh Steelers,1,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,D.Washington,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,V.Jefferson,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
0.0,C.Austin,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,36,91,14,85,Snow
