,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
4,D.Carr o2.5 rushing yards,Rotowire Prizepicks,New Orleans Saints,d.carr,Kansas City Chiefs,0.0,0.75,1,0.6666666666666666,1,0.75,1,66,2,40,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
13,P.Mahomes o18.5 Rush Yds,RoyalsProps,Kansas City Chiefs,p.mahomes,New Orleans Saints,1.0,0.25,0,0.3333333333333333,0,0.25,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.1,2.1,1.0
18,X.Worthy o2.5 Rush Yds,charliedisturco,Kansas City Chiefs,x.worthy,New Orleans Saints,1.0,0.75,1,0.6666666666666666,1,0.75,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,0.55,1.05,0.5
21,A.Kamara u67.5 Rush Yds,boomerslocks,New Orleans Saints,a.kamara,Kansas City Chiefs,0.0,0.0,0,0.0,0,0.0,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.0,2.0,1.0
24,P.Mahomes o18.5 rushing yards,Rotowire Prizepicks,Kansas City Chiefs,p.mahomes,New Orleans Saints,1.0,0.25,0,0.3333333333333333,0,0.25,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
38,K.Hunt u49.5 rushing yards,Rotowire Prizepicks,Kansas City Chiefs,k.hunt,New Orleans Saints,1.0,0.0,0,0.0,0,0.0,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
39,P.Mahomes o18.5 rushing yards,Rotowire Sleeper,Kansas City Chiefs,p.mahomes,New Orleans Saints,1.0,0.25,0,0.3333333333333333,0,0.25,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
52,A.Kamara u67.5 Rush Yds,kylemurray03,New Orleans Saints,a.kamara,Kansas City Chiefs,0.0,0.0,0,0.0,0,0.0,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-115,1.15,2.1499999999999995,0.9999999999999996
60,X.Worthy o2.5 Rush Yds,GreenDotDaily,Kansas City Chiefs,x.worthy,New Orleans Saints,1.0,0.75,1,0.6666666666666666,1,0.75,1,67,2,39,1,,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.0,1.9090909090909087,0.9090909090909092
74,D.Carr o3.5 Rush Yds,MoneylineHacks,New Orleans Saints,d.carr,Kansas City Chiefs,0.0,0.5,0,0.3333333333333333,0,0.5,0,66,2,39,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,-105,1.0,1.9523809523809523,0.9523809523809524
