Play,Expert,Team,Name,Over?,Under?,Prop Bets,Correct,Actual Value,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
K.Hunt o35.5 Rush Yds,kylemurray03,Kansas City Chiefs,k.hunt,,,,Y,102.0,New Orleans Saints,1.0,1.0,1,1.0,1,1.0,1,65,3,38,2,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.1,2.1,1.0
K.Hunt o35.5 rush yards,Jared Hochman,Kansas City Chiefs,k.hunt,,,,Y,102.0,New Orleans Saints,1.0,1.0,1,1.0,1,1.0,1,65,3,38,2,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,0.75,1.5,0.75
D.Carr o2.5 rushing yards,Rotowire Prizepicks,New Orleans Saints,d.carr,,,,N,0.0,Kansas City Chiefs,0.0,0.75,1,0.6666666666666666,1,0.75,1,66,2,40,1,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
P.Mahomes o18.5 Rush Yds,RoyalsProps,Kansas City Chiefs,p.mahomes,,,,Y,22.0,New Orleans Saints,1.0,0.25,0,0.3333333333333333,0,0.25,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.1,2.1,1.0
X.Worthy o2.5 Rush Yds,charliedisturco,Kansas City Chiefs,x.worthy,,,,Y,3.0,New Orleans Saints,1.0,0.75,1,0.6666666666666666,1,0.75,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,0.55,1.05,0.5
A.Kamara u67.5 Rush Yds,boomerslocks,New Orleans Saints,a.kamara,,,,Y,26.0,Kansas City Chiefs,0.0,0.0,0,0.0,0,0.0,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.0,2.0,1.0
K.Hunt o41.5 Rush Yds,charliedisturco,Kansas City Chiefs,k.hunt,,,,Y,102.0,New Orleans Saints,1.0,1.0,1,1.0,1,1.0,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,-110,1.1,2.1,1.0
P.Mahomes o18.5 rushing yards,Rotowire Prizepicks,Kansas City Chiefs,p.mahomes,,,,Y,22.0,New Orleans Saints,1.0,0.25,0,0.3333333333333333,0,0.25,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
K.Hunt o45.5 rushing yards,Rotowire Sleeper,Kansas City Chiefs,k.hunt,,,,Y,102.0,New Orleans Saints,1.0,1.0,1,1.0,1,1.0,1,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
P.Mahomes o18.5 rushing yards,Rotowire Sleeper,Kansas City Chiefs,p.mahomes,,,,Y,22.0,New Orleans Saints,1.0,0.25,0,0.3333333333333333,0,0.25,0,67,2,39,1,Partly Cloudy,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
