,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
2,M.Evans u70.5 receiving yards,Rotowire Prizepicks,Tampa Bay Buccaneers,M.Evans,Detroit Lions,0.0,1.0,1,1.0,1,1.0,1,80,8,51,9,Rain,Ford Field,indoors,turf,100,1.5,3.0,1.5
17,J.Smith-njigba u44.5 receiving yards,Rotowire Prizepicks,Seattle Seahawks,j.smith-njigba,New England Patriots,0.0,1.0,1,1.0,1,1.0,1,77,5,58,1,Rain,Gillette,outdoors,turf,100,1.5,3.0,1.5
24,Q.Johnston u33.5 Rec Yds,chrisgimino_,Los Angeles Chargers,q.johnston,Carolina Panthers,0.0,0.0,0,0.0,0,0.0,0,75,12,64,27,Rain,Bank of America,outdoors,grass,-117,1.0,1.8547008547008548,0.8547008547008548
33,R.White u26.5 receiving yards,Rotowire Prizepicks,Tampa Bay Buccaneers,r.white,Detroit Lions,0.0,0.0,0,0.0,0,0.0,0,80,8,52,7,Partly Cloudy,Ford Field,indoors,turf,100,1.5,3.0,1.5
34,L.Mcconkey u46.5 receiving yards,Rotowire Prizepicks,Los Angeles Chargers,l.mcconkey,Carolina Panthers,0.0,1.0,1,1.0,1,1.0,1,75,12,80,27,Rain,Bank of America,outdoors,grass,100,1.5,3.0,1.5
41,L.Mcconkey u45.5 receiving yards,Rotowire Prizepicks,Los Angeles Chargers,l.mcconkey,Carolina Panthers,0.0,1.0,1,1.0,1,1.0,1,75,14,80,28,Rain,Bank of America,outdoors,grass,100,1.5,3.0,1.5
47,J.McMillan u30.5 Rec Yds,kylemurray03,Tampa Bay Buccaneers,j.mcmillan,Detroit Lions,0.0,0.0,0,0.0,0,0.0,0,81,7,49,1,Clear,Ford Field,indoors,turf,-111,1.11,2.1100000000000003,1.0000000000000002
48,M.Evans u72.5 receiving yards,Rotowire Prizepicks,Tampa Bay Buccaneers,m.evans,Detroit Lions,0.0,1.0,1,1.0,1,1.0,1,81,7,49,1,Clear,Ford Field,indoors,turf,100,1.5,3.0,1.5
82,T.Johnson u35.5 Rec Yds,kylemurray03,Los Angeles Rams,t.johnson,Arizona Cardinals,0.0,0.0,0,0.0,0,0.0,0,94,8,38,8,Rain,State Farm,indoors,grass,-114,1.14,2.14,0.9999999999999998
118,J.Nailor u32.5 receiving yards,Rotowire Prizepicks,Minnesota Vikings,j.nailor,San Francisco 49ers,1.0,1.0,1,1.0,1,1.0,1,80,10,65,3,Rain,U.S. Bank,indoors,turf,100,1.5,3.0,1.5
125,A.Lazard u37.5 receiving yards,Rotowire Prizepicks,New York Jets,a.lazard,Tennessee Titans,0.0,0.0,0,0.0,0,0.0,0,83,8,61,20,Rain,Nissan,outdoors,grass,100,1.5,3.0,1.5
127,B.Cooks u47.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,b.cooks,New Orleans Saints,1.0,1.0,1,1.0,1,1.0,1,85,6,53,0,Clear,AT&amp;T,indoors,turf,100,1.5,3.0,1.5
149,J.Palmer u40.5 Rec Yds,cowhitchurch,Los Angeles Chargers,j.palmer,Carolina Panthers,0.0,1.0,1,1.0,1,1.0,1,79,14,64,11,Rain,Bank of America,outdoors,grass,-113,1.0,1.8849557522123888,0.8849557522123894
150,J.Palmer u39.5 Rec Yds,The_Oddsmaker,Los Angeles Chargers,j.palmer,Carolina Panthers,0.0,1.0,1,1.0,1,1.0,1,79,14,64,11,Rain,Bank of America,outdoors,grass,-115,1.15,2.1499999999999995,0.9999999999999996
182,A.Iosivas u40.5 receiving yards,Rotowire Prizepicks,Cincinnati Bengals,a.iosivas,Kansas City Chiefs,0.0,1.0,1,1.0,1,1.0,1,86,9,50,4,Clear,GEHA Field at Arrowhead Stadium,outdoors,grass,100,1.5,3.0,1.5
186,A.Gibson u10.5 Rec Yds,MoneylineHacks,New England Patriots,a.gibson,Seattle Seahawks,1.0,0.0,0,0.0,0,0.0,0,76,6,48,0,Clear,Gillette,outdoors,turf,-121,1.0,1.826446280991736,0.8264462809917354
192,R.Odunze u38.5 Rec Yds,MoneylineHacks,Chicago Bears,r.odunze,Houston Texans,0.0,1.0,1,1.0,1,1.0,1,90,6,56,25,Rain,NRG,indoors,turf,-110,2.0,3.8181818181818175,1.8181818181818183
205,J.Palmer u36.5 Rec Yds,Theotherbabs,Los Angeles Chargers,j.palmer,Carolina Panthers,0.0,1.0,1,1.0,1,1.0,1,75,14,66,10,Mostly Cloudy,Bank of America,outdoors,grass,-110,1.0,1.9090909090909087,0.9090909090909092
265,B.Robinson u31.5 receiving yards,Rotowire Prizepicks,Washington Commanders,b.robinson,New York Giants,1.0,0.5,0,0.5,0,0.5,0,75,7,51,0,Partly Cloudy,FedExField,outdoors,grass,100,1.5,3.0,1.5
266,B.Robinson u32.5 receiving yards,Rotowire Prizepicks,Washington Commanders,b.robinson,New York Giants,1.0,0.5,0,0.5,0,0.5,0,75,7,51,0,Partly Cloudy,FedExField,outdoors,grass,100,1.5,3.0,1.5
