,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,Rec_BrkTkl,Rec_Rec/Br,Rush_Att,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,S.Shepard,Tampa Bay Buccaneers,1,1,15,0,1,15,15.0,0,0.0,15.0,0,0.0,0,0.0,118.7,0,0,0,15,0,0,0,0,0,0,0,0.0,0,45.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
1,T.Palmer,Tampa Bay Buccaneers,3,1,16,0,0,0,0,0,0,14.7,0,0.0,0,0.0,52.1,0,0,0,16,0,1,15,15.0,1,1.0,0,0.0,0,72.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
2,M.Evans,Tampa Bay Buccaneers,3,1,25,1,0,0,0,0,0,19.0,0,0.0,0,0.0,104.2,0,0,0,25,0,1,25,25.0,0,0.0,0,0.0,0,28.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
3,C.Godwin,Tampa Bay Buccaneers,9,7,65,0,3,39,5.6,26,3.7,7.2,0,0.0,0,0.0,57.2,0,0,0,21,0,0,0,0,0,0,0,0.0,0,85.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
4,C.Otton,Tampa Bay Buccaneers,10,8,100,0,4,63,7.9,37,4.6,9.0,0,0.0,0,0.0,108.3,0,0,0,28,0,0,0,0,0,0,0,0.0,0,98.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
5,J.McMillan,Tampa Bay Buccaneers,8,3,15,0,1,7,2.3,8,2.7,12.5,0,0.0,0,0.0,6.2,11,0,11,8,0,0,0,0,0,0,0,0.0,0,60.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
6,B.Irving,Tampa Bay Buccaneers,3,3,54,0,3,5,1.7,49,16.3,1.7,0,0.0,0,0.0,118.7,23,1,6,25,0,0,0,0,0,0,0,0.0,0,35.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
7,S.Tucker,Tampa Bay Buccaneers,2,1,9,0,1,-3,-3.0,12,12.0,1.0,0,0.0,0,0.0,62.5,29,0,15,9,0,0,0,0,0,0,0,0.0,0,20.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
8,R.White,Tampa Bay Buccaneers,6,6,71,2,4,-4,-0.7,75,12.5,-0.7,0,0.0,0,0.0,155.6,40,0,8,23,0,0,0,0,0,0,0,0.0,0,48.0,1021,Baltimore Ravens,1,Raymond James,outdoors,grass,81,73,9,0,Clear
9,C.Kolar,Baltimore Ravens,1,1,14,0,1,11,11.0,3,3.0,11.0,0,0.0,0,0.0,118.7,0,0,0,14,0,0,0,0,0,0,0,0.0,0,36.0,1021,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,81,73,9,0,Clear
