,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
80,D.Moore o5.5 Recs,TheBMatt_duplicate,Chicago Bears,d.moore,Detroit Lions,1.0,0.5,0,1.0,1,1.0,1,29,12,72,0,Rain,Soldier Field,outdoors,grass,103.0,1.0,2.03,1.0300000000000002
88,D.Moore o5.5 Recs,Markus_Markets_duplicate,Chicago Bears,d.moore,Detroit Lions,1.0,0.5,0,1.0,1,1.0,1,31,15,66,0,Clear,Soldier Field,outdoors,grass,102.0,1.0,2.02,1.02
95,J.Williams o2.5 Recs,goodelleaks_duplicate,Detroit Lions,j.williams,Chicago Bears,0.0,0.75,1,1.0,1,1.0,1,31,15,66,0,Clear,Soldier Field,outdoors,grass,-128.0,2.0,3.5625,1.5625
152,T.Hockenson o4.5 Recs,TopShelfAction,Minnesota Vikings,t.hockenson,Seattle Seahawks,0.0,0.4285714285714285,0,0.3333333333333333,0,0.4,0,49,7,87,96,Rain,Lumen Field,outdoors,turf,110.0,0.5,1.05,0.55
174,R.Pearsall o1.5 Recs,chrisgimino_,San Francisco 49ers,r.pearsall,Miami Dolphins,0.0,0.4285714285714285,0,0.0,0,0.2,0,71,7,59,8,Partly Cloudy,Hard Rock,outdoors,grass,-145.0,1.45,2.45,1.0000000000000002
194,K.Pitts o2.5 Recs,theprophunter0_,Atlanta Falcons,k.pitts,New York Giants,1.0,0.5714285714285714,1,0.3333333333333333,0,0.4,0,43,6,40,0,Clear,Mercedes-Benz,indoors,turf,-110.0,1.1,2.1,1.0
197,T.Patrick u2.5 Recs,Theotherbabs,Detroit Lions,t.patrick,Chicago Bears,0.0,0.5833333333333334,1,0.3333333333333333,0,0.2,0,30,11,63,0,Mostly Cloudy,Soldier Field,outdoors,grass,-115.0,1.0,1.869565217391304,0.8695652173913042
212,D.Moore u5.5 Recs,TopShelfAction_duplicate,Carolina Panthers,d.moore,Arizona Cardinals,1.0,0.8888888888888888,1,1.0,1,0.8,1,36,0,34,0,Clear,Bank of America,outdoors,grass,115.0,0.5,1.075,0.575
214,J.Smith-Njigba o6.5 Recs,TopShelfAction,Seattle Seahawks,j.smith-njigba,Minnesota Vikings,1.0,0.3571428571428571,0,0.3333333333333333,0,0.4,0,49,7,87,96,Rain,Lumen Field,outdoors,turf,130.0,0.5,1.15,0.6499999999999999
225,B.Thomas u5.5 Recs,TopShelfAction,Jacksonville Jaguars,b.thomas,Las Vegas Raiders,0.0,0.7857142857142857,1,0.3333333333333333,0,0.6,1,60,3,22,2,Mostly Cloudy,Allegiant,indoors,grass,128.0,0.5,1.14,0.6400000000000001
226,A.Abdullah o2.5 Recs,TopShelfAction,Las Vegas Raiders,a.abdullah,Jacksonville Jaguars,1.0,0.6,1,0.3333333333333333,0,0.6,1,60,3,22,2,Mostly Cloudy,Allegiant,indoors,grass,135.0,0.5,1.175,0.675
